iter	Passed	Remaining
0	140	140565
1	142	71073
2	144	47910
3	145	36274
4	146	29175
5	147	24459
6	148	21076
7	149	18527
8	150	16528
9	150	14926
10	151	13641
11	152	12585
12	153	11679
13	154	10907
14	155	10241
15	156	9650
16	157	9132
17	158	8666
18	159	8249
19	160	7863
20	161	7514
21	161	7195
22	162	6904
23	163	6637
24	163	6392
25	164	6168
26	165	5963
27	166	5769
28	166	5587
29	167	5417
30	168	5259
31	168	5110
32	169	4971
33	170	4839
34	171	4716
35	171	4601
36	172	4493
37	173	4389
38	174	4289
39	174	4195
40	175	4104
41	176	4018
42	176	3936
43	177	3857
44	178	3782
45	178	3711
46	179	3642
47	180	3576
48	180	3512
49	181	3451
50	182	3392
51	183	3336
52	183	3282
53	184	3230
54	185	3179
55	185	3131
56	186	3084
57	187	3038
58	187	2994
59	188	2951
60	189	2911
61	189	2872
62	190	2833
63	191	2796
64	191	2760
65	192	2725
66	193	2691
67	193	2653
68	194	2621
69	194	2590
70	195	2559
71	196	2530
72	196	2501
73	197	2473
74	198	2446
75	198	2419
76	199	2393
77	200	2368
78	201	2343
79	201	2319
80	202	2296
81	203	2272
82	203	2250
83	204	2229
84	204	2205
85	205	2185
86	206	2162
87	206	2142
88	207	2123
89	208	2104
90	208	2085
91	209	2067
92	210	2049
93	210	2032
94	211	2014
95	212	1998
96	212	1981
97	213	1965
98	214	1949
99	214	1933
100	215	1918
101	215	1900
102	216	1886
103	217	1871
104	217	1858
105	218	1845
106	219	1831
107	220	1817
108	220	1804
109	221	1792
110	222	1779
111	222	1767
112	223	1754
113	224	1742
114	224	1730
115	225	1718
116	226	1706
117	226	1695
118	227	1682
119	227	1671
120	228	1661
121	229	1650
122	229	1637
123	230	1627
124	231	1617
125	231	1607
126	232	1597
127	232	1586
128	233	1577
129	234	1568
130	234	1558
131	235	1549
132	236	1540
133	237	1532
134	237	1523
135	238	1514
136	239	1506
137	239	1497
138	240	1488
139	241	1480
140	241	1472
141	242	1464
142	243	1456
143	243	1448
144	244	1440
145	245	1433
146	245	1425
147	246	1418
148	247	1410
149	247	1403
150	248	1396
151	249	1389
152	249	1383
153	250	1377
154	251	1370
155	252	1363
156	252	1356
157	253	1350
158	254	1343
159	254	1337
160	255	1330
161	256	1324
162	256	1318
163	257	1312
164	258	1306
165	258	1300
166	259	1294
167	260	1288
168	260	1282
169	261	1276
170	262	1270
171	262	1265
172	263	1260
173	264	1254
174	264	1249
175	265	1243
176	266	1238
177	266	1232
178	267	1227
179	268	1222
180	268	1215
181	269	1210
182	269	1205
183	270	1200
184	271	1195
185	271	1190
186	272	1185
187	273	1180
188	273	1175
189	274	1170
190	275	1166
191	275	1161
192	276	1156
193	277	1152
194	278	1148
195	278	1144
196	279	1139
197	280	1135
198	280	1131
199	281	1126
200	282	1122
201	282	1117
202	283	1113
203	284	1109
204	284	1105
205	285	1100
206	286	1096
207	287	1092
208	287	1088
209	288	1084
210	289	1080
211	289	1076
212	290	1072
213	291	1069
214	291	1065
215	292	1061
216	293	1057
217	293	1053
218	294	1050
219	295	1046
220	295	1042
221	296	1038
222	297	1035
223	297	1031
224	298	1028
225	299	1024
226	299	1021
227	300	1017
228	301	1013
229	301	1010
230	302	1006
231	303	1003
232	303	1000
233	304	996
234	305	993
235	305	990
236	306	986
237	307	985
238	309	984
239	310	982
240	311	980
241	312	979
242	313	975
243	313	972
244	314	969
245	315	966
246	316	963
247	316	960
248	317	957
249	318	954
250	318	951
251	319	947
252	320	944
253	320	942
254	321	939
255	322	936
256	322	933
257	323	930
258	324	927
259	324	924
260	325	921
261	326	918
262	326	916
263	327	913
264	328	910
265	328	907
266	329	904
267	330	902
268	330	899
269	331	896
270	332	893
271	332	891
272	333	888
273	334	885
274	334	883
275	335	880
276	336	877
277	337	875
278	337	872
279	338	870
280	339	867
281	339	865
282	340	862
283	341	860
284	341	857
285	342	854
286	343	852
287	343	849
288	344	847
289	345	845
290	345	842
291	346	840
292	347	837
293	347	835
294	348	833
295	349	830
296	349	828
297	350	825
298	351	823
299	352	821
300	352	819
301	353	816
302	354	814
303	354	812
304	355	809
305	356	807
306	356	805
307	357	802
308	358	800
309	358	798
310	359	796
311	360	793
312	360	791
313	361	789
314	362	787
315	362	785
316	363	782
317	364	780
318	364	778
319	365	776
320	366	774
321	366	772
322	367	770
323	368	768
324	368	765
325	369	763
326	370	761
327	370	759
328	371	757
329	372	755
330	372	753
331	373	751
332	374	749
333	374	747
334	375	745
335	376	743
336	376	741
337	377	739
338	378	737
339	378	735
340	379	733
341	380	731
342	380	729
343	381	727
344	382	725
345	383	723
346	383	722
347	384	720
348	385	718
349	385	716
350	386	714
351	387	712
352	387	710
353	388	708
354	389	706
355	389	704
356	390	703
357	390	701
358	391	699
359	392	697
360	393	695
361	393	693
362	394	691
363	395	690
364	395	688
